Comparison	gene	log2FC
IFNb_UP_DOWN	MX1	8.50011178003653
IFNb_UP_DOWN	MT-TF	2.00287448247671
IFNb_UP_DOWN	MT-TV	1.51761015025345
IFNb_UP_DOWN	MT-TL1	1.47372731262918
IFNg_UP_DOWN	KCNAB2	-1.00477418856798
IFNg_UP_DOWN	TNFRSF9	-2.48649932845486
IFNg_UP_DOWN	OTUD3	-1.10901210357156
IFNg_UP_DOWN	CDC20	-1.50655824709784
IFNg_UP_DOWN	DEPDC1	-1.78553707867506
IFNg_UP_DOWN	CTH	-1.36658758832259
IFNg_UP_DOWN	SYPL2	-1.11821547350328
IFNg_UP_DOWN	KCND3	-1.41104280119764
IFNg_UP_DOWN	DENND2C	-1.11433776374264
IFNg_UP_DOWN	ITGA10	-1.27741228323753
IFNg_UP_DOWN	IQGAP3	-1.71775292738312
IFNg_UP_DOWN	ATP1B1	-1.10897558449608
IFNg_UP_DOWN	PAPPA2	-1.40005862927236
IFNg_UP_DOWN	ASPM	-1.12410972742471
IFNg_UP_DOWN	KIF14	-1.05176999782341
IFNg_UP_DOWN	G0S2	-1.2061194401405
IFNg_UP_DOWN	NEK2	-2.18875548261517
IFNg_UP_DOWN	CENPF	-1.39295149614817
IFNg_UP_DOWN	SPATA17	-1.16194702680732
IFNg_UP_DOWN	TGFB2	-1.15540051637597
IFNg_UP_DOWN	HHIPL2	-1.500222181232
IFNg_UP_DOWN	RP11-452F19.3	-1.19253269067154
IFNg_UP_DOWN	CNIH3	-1.48387955625421
IFNg_UP_DOWN	SDC1	-1.53205867894364
IFNg_UP_DOWN	TET3	-1.15941302814625
IFNg_UP_DOWN	BOLA3-AS1	-1.14099408030271
IFNg_UP_DOWN	NPAS2	-1.1803436366229
IFNg_UP_DOWN	CKAP2L	-1.08437940092485
IFNg_UP_DOWN	CYP27C1	-1.52881979926252
IFNg_UP_DOWN	GALNT13	-1.77351295709452
IFNg_UP_DOWN	ERICH2	-1.17135623007647
IFNg_UP_DOWN	OSBPL6	-1.42990526142373
IFNg_UP_DOWN	PGAP1	-1.33291779569352
IFNg_UP_DOWN	HJURP	-1.69901072861701
IFNg_UP_DOWN	ZNF385D	-1.19237623494716
IFNg_UP_DOWN	STAC	-1.10646100880051
IFNg_UP_DOWN	IMPDH2	-1.06860823765439
IFNg_UP_DOWN	NT5DC2	-2.02728198897943
IFNg_UP_DOWN	WNT5A	-1.05179360620984
IFNg_UP_DOWN	GXYLT2	-1.03853207498156
IFNg_UP_DOWN	GAP43	-1.7502862541319
IFNg_UP_DOWN	SLC12A8	-1.08270311061
IFNg_UP_DOWN	IL20RB	-1.13811976543108
IFNg_UP_DOWN	CHST2	-1.39548667067461
IFNg_UP_DOWN	C3orf80	-2.94413551643224
IFNg_UP_DOWN	NMRAL2P	-1.11226416709901
IFNg_UP_DOWN	HES1	-1.22238440996136
IFNg_UP_DOWN	DANCR	-1.75493614548334
IFNg_UP_DOWN	SLC7A11	-1.93355785862395
IFNg_UP_DOWN	CLGN	-1.30348223848478
IFNg_UP_DOWN	SFRP2	-1.01089385658366
IFNg_UP_DOWN	CCNB1	-1.17058486612815
IFNg_UP_DOWN	TSLP	-2.53420185532383
IFNg_UP_DOWN	KIF20A	-1.46806588860165
IFNg_UP_DOWN	HBEGF	-1.47758399452639
IFNg_UP_DOWN	PCDH1	-1.94405725021971
IFNg_UP_DOWN	KCTD16	-1.52879348232991
IFNg_UP_DOWN	ABLIM3	-1.03937599643802
IFNg_UP_DOWN	HMMR	-1.19939066649001
IFNg_UP_DOWN	NEURL1B	-1.36045527363633
IFNg_UP_DOWN	TUBB2B	-1.9992661736425
IFNg_UP_DOWN	ADTRP	-1.88934819040437
IFNg_UP_DOWN	JARID2	-1.08423123582808
IFNg_UP_DOWN	COL21A1	-1.03992063164953
IFNg_UP_DOWN	TTK	-1.32509658867466
IFNg_UP_DOWN	ENPP1	-1.35550357282022
IFNg_UP_DOWN	MOXD1	-1.25097529097227
IFNg_UP_DOWN	NHSL1	-1.02052157986001
IFNg_UP_DOWN	ULBP1	-1.42057127668927
IFNg_UP_DOWN	RP3-428L16.2	-1.29840623705597
IFNg_UP_DOWN	MTURN	-1.4566994062614
IFNg_UP_DOWN	IGFBP3	-1.30947215496457
IFNg_UP_DOWN	PSPH	-1.13132454031912
IFNg_UP_DOWN	AC004980.7	-1.48530094811829
IFNg_UP_DOWN	PEG10	-1.24986115112767
IFNg_UP_DOWN	LRRC17	-1.08767705118109
IFNg_UP_DOWN	DGKI	-1.16394689274813
IFNg_UP_DOWN	CLCN4	-1.0320509593078
IFNg_UP_DOWN	PHEX	-2.700892174076
IFNg_UP_DOWN	NDP	-1.64369292056562
IFNg_UP_DOWN	CLCN5	-1.20684121089535
